new_game,Новая игра
continue,Продолжить
reset,x
if_not_weapons,Вы можете найти разряжатели только на десятом этаже!
catalysts_will_appear,Катализаторы, покупаемые вами в магазине, будут появляться здесь
no_focus,Наведитесь на любой разряжатель или катализатор, чтобы узнать информацию о нем
catalyst_health_increase,ЭНЕРГОЕМКОСТЬ Добавляет две дополнительные батарейки
catalyst_money_rain,ДЕНЕЖНЫЙ ДОЖДЬ Деньги укрепляются в два раза
catalyst_energy_transaction,ЭНЕРГЕТИЧЕСКАЯ СДЕЛКА Ваш заряд уменьшается вдвое, а снаряды наносят полуторный урон
level,Уровень
max,(МАКС)
min,(МИН)
cyclotron,Замораживает раздатчики
fan,Сдувает полепрядов
vacuumcleaner,Пылесосит синюю пыль
pause,||
buy,Купить
not_enough_money,Нет денег
costs,Стоит
amount_of_money,Количество ваших денег
purchased,Куплено
floor_is_cleared,Этаж % освобожден!
to_the_floor,На % этаж
save_and_quit,Сохранить и выйти
remain,Осталось
you_have_liquidated,Вы ликвидировали % шт.
you_have_reached,и спустились на % этаж!
exit,Выйти
fps,Частота кадров
plus,+
minus,-
language,Язык
difficulty,Предел количества персонажей на уровне
effects_loudness,Громк. эффектов
music_volume,Громк. муз.
actual_statistics,Последняя статистика
achievement_catterfield,Ликвидируйте 100 полепрядов в одной игре